inquiry_id,category,subcategory,urgency,client_status,keywords,summary,original_message,recommended_action,suggested_response,previous_resolution,escalation_rule
enq-001,Complaint,Noise Dispute,High,existing,"noise; neighbour; by-law; dispute; after hours","Owner reports repeated late-night noise from neighbouring lot.","I have been hearing loud music from the unit above me after 10pm for the last three weeks. Nothing has changed after speaking with them.","Log the complaint, check the noise by-law, issue a breach warning if supported, and follow up within 48 hours.","Thank you for raising this with us. We have logged your concern and will review it against the scheme by-laws before confirming the next step. Please keep a record of any further incidents with dates and times.","By-law notice issued and matter resolved within 7 days.","Escalate when repeated, hostile, or likely to become a formal dispute."
enq-002,Maintenance Request,Plumbing Emergency,Critical,existing,"water leak; ceiling; pipe; plumber; emergency","Water is leaking from a common area ceiling near the lift.","There is water dripping from the ceiling on Level 3 near the lift and it is getting worse.","Dispatch emergency plumber, notify building manager, isolate affected water supply if safe, and notify affected residents.","Thank you for alerting us. We are treating this as urgent and arranging contractor attendance. Please avoid the affected area while we coordinate the repair.","Plumber attended within 45 minutes and replaced failed pipe joint.","Always escalate same day when water, electrical, safety, or access risk is present."
enq-003,Financial Enquiry,Levy Increase,Medium,existing,"levy; invoice; budget; payment; arrears","Owner asks why their levy increased compared with last quarter.","My quarterly levy has gone up and I do not understand why. Can someone explain the increase?","Check levy schedule and AGM minutes, confirm approved budget or special levy, then send supporting documents.","Thank you for getting in touch. We will review the approved levy schedule and provide the relevant explanation and documents for your property.","AGM minutes and levy schedule sent; owner satisfied.","Escalate if levy appears unapproved or account is in dispute."
enq-004,New Client,Management Proposal,Low,new,"proposal; quote; strata management; new building","Prospective client asks for strata management proposal.","We are looking for a new strata manager for our building and would like to know your fees and process.","Acknowledge enquiry, collect scheme details, send capability statement, and schedule discovery call.","Thank you for contacting us. We would be happy to discuss your strata management needs and prepare next steps after confirming a few building details.","Discovery call booked and proposal sent within 2 business days.","Human review optional unless urgent committee deadline is mentioned."
enq-005,Support Request,Portal Access,Medium,existing,"portal; login; access; password; account","Existing client cannot access the owner portal.","I cannot log in to the portal and need access to my levy notices.","Verify identity, check portal account status, reset access, and provide instructions.","Thank you for letting us know. We will check your portal access and send reset instructions once your account is verified.","Portal invitation resent; owner logged in successfully.","Escalate if personal data or account ownership is unclear."
enq-006,Complaint,Contractor Conduct,High,existing,"contractor; rude; damage; complaint; site","Client complains about contractor conduct or property damage.","The contractor was rude to residents and left damage in the common hallway.","Log complaint, request photos/details, notify contractor manager, and arrange inspection if damage is alleged.","Thank you for reporting this. We will log the contractor concern, request supporting details, and follow up with the contractor and building representative.","Contractor apologised and repaired minor damage within 3 days.","Escalate to manager when damage, safety, or repeated contractor behaviour is alleged."
enq-007,General Question,By-law Clarification,Low,new,"by-law; pet; parking; rules; question","Client asks for general clarification about strata by-laws.","Can you explain whether pets are allowed in a strata building?","Provide general information, clarify that scheme-specific by-laws must be checked, and offer document review.","Thank you for your question. Pet rules depend on the specific scheme by-laws, so we recommend checking the current registered by-laws before taking action.","General guidance provided; client requested a by-law review.","Human review optional unless legal dispute or enforcement action is involved."
enq-008,Maintenance Request,Lift Fault,Critical,existing,"lift; elevator; outage; elderly; disabled; access","Lift outage affects vulnerable residents and upper-floor access.","The lift has been broken for two days and elderly residents cannot use the stairs.","Treat as safety issue, contact lift contractor urgently, notify residents, and arrange welfare checks for vulnerable occupants.","Thank you for raising this. We are treating the lift outage as urgent and will coordinate contractor attendance and resident updates.","Emergency repair completed within 6 hours; welfare checks completed.","Always escalate when access, vulnerable residents, or safety risk is present."
enq-009,Support Request,Committee Meeting,Medium,existing,"committee; meeting; minutes; agenda; motion","Committee member asks for help with meeting agenda or minutes.","Can you add a motion to the next committee meeting agenda about painting the foyer?","Confirm meeting date, draft agenda motion, check notice requirements, and acknowledge inclusion.","Thank you. We will review the meeting schedule and add the proposed motion if it meets notice and agenda requirements.","Motion added to agenda and circulated with notice.","Escalate if motion has legal, budget, or by-law implications."
enq-010,Financial Enquiry,Payment Plan,High,existing,"arrears; payment plan; hardship; overdue; levy","Owner requests help with overdue levies or hardship.","I am behind on levies and need to discuss a payment plan.","Check arrears balance, review policy, advise payment plan options, and route to accounts manager.","Thank you for contacting us. We will review your account and payment plan options, then respond with the next steps for approval.","Payment plan approved and account monitored monthly.","Escalate to accounts manager for arrears, hardship, or debt recovery matters."
